1.jpg	0	0.86	240	354	67	479	
2.jpg	0	0.96	188	306	7	533	
3.jpg	0	0.85	122	513	218	503	
4.jpg	0	0.98	112	596	208	535	
5.jpg	0	0.94	11	609	15	528	
6.jpg	0	0.94	132	581	265	498	
7.jpg	1	0.86	67	549	288	380	
8.jpg	0	0.93	37	322	26	418	
9.jpg	0	0.88	146	328	16	503	
10.jpg	0	0.72	147	330	9	485	
11.jpg	0	0.91	276	668	307	694	
12.jpg	0	0.97	131	818	150	703	
13.jpg	0	0.67	312	635	306	639	
14.jpg	0	0.84	151	599	104	553	
15.jpg	0	0.98	89	776	57	645	
16.jpg	0	0.84	0	595	23	450	
17.jpg	0	0.99	17	587	213	350	
18.jpg	0	0.43	70	591	105	464	
19.jpg	1	0.75	10	615	7	458	
20.jpg	0	0.21	2	557	91	484	
21.jpg	0	0.24	173	532	34	477	
22.jpg	0	0.99	58	466	93	449	
23.jpg	0	0.87	25	455	86	482	
24.jpg	0	0.99	77	592	109	661	
25.jpg	0	0.96	96	419	19	639	
26.jpg	0	0.83	0	643	43	596	
27.jpg	0	0.77	0	754	193	629	
28.jpg	0	0.44	13	632	60	700	
29.jpg	0	0.52	154	277	37	407	
30.jpg	0	0.25	117	526	330	359	
31.jpg	0	0.66	58	530	202	348	
32.jpg	0	0.18	10	538	21	477	
33.jpg	0	0.99	29	813	133	683	
34.jpg	0	0.83	249	827	0	709	
35.jpg	0	0.98	41	823	3	691	
36.jpg	0	0.88	5	753	459	227	
37.jpg	0	0.43	15	779	53	718	
38.jpg	1	0.57	281	684	267	706	
39.jpg	0	0.9	101	776	185	626	
40.jpg	0	0.69	165	815	519	538	
41.jpg	0	0.98	60	704	122	569	
42.jpg	0	0.72	23	799	280	698	
43.jpg	0	0.91	2	538	267	236	
44.jpg	0	0.97	167	806	47	684	
45.jpg	0	0.99	149	823	2	714	
46.jpg	0	0.81	125	788	148	712	
47.jpg	0	1.0	6	782	162	714	
48.jpg	0	0.88	128	807	141	720	
49.jpg	0	0.16	9	732	94	704	
50.jpg	0	0.79	11	561	16	608	
51.jpg	0	0.96	0	761	44	720	
52.jpg	0	0.96	145	195	13	356	
53.jpg	0	0.55	59	424	147	256	
54.jpg	0	0.97	331	180	15	481	
55.jpg	0	0.81	270	519	220	475	
56.jpg	0	0.55	263	396	72	484	
57.jpg	0	0.7	47	554	378	276	
58.jpg	0	0.48	251	151	1	493	
59.jpg	0	0.82	62	274	21	250	
60.jpg	0	0.97	0	539	0	472	
61.jpg	1	0.98	44	485	111	342	
62.jpg	1	0.94	209	469	137	514	
63.jpg	0	0.99	15	605	17	440	
64.jpg	1	0.69	134	750	330	581	
65.jpg	0	0.95	67	595	117	535	
66.jpg	0	0.72	142	625	66	668	
67.jpg	0	0.96	73	325	54	415	
68.jpg	0	0.66	69	416	153	418	
